X,Y,Z
-73.125,121.875,-155.000
-74.244,121.315,-155.000
-75.354,120.736,-155.000
-76.411,120.066,-155.000
-77.355,119.246,-155.000
-78.188,118.312,-155.000
-78.969,117.334,-155.000
-79.743,116.350,-155.000
-80.516,115.366,-155.000
-81.289,114.382,-155.000
-82.064,113.399,-155.000
-82.874,112.447,-155.000
-83.816,111.628,-155.000
-84.940,111.093,-155.000
-86.168,110.883,-155.000
-87.414,110.949,-155.000
-88.620,111.261,-155.000
-89.726,111.832,-155.000
-90.702,112.610,-155.000
-91.604,113.479,-155.000
-92.489,114.364,-155.000
-93.379,115.243,-155.000
-94.299,116.091,-155.000
-95.291,116.850,-155.000
-96.381,117.456,-155.000
-97.560,117.860,-155.000
-98.792,118.056,-155.000
-100.042,118.084,-155.000
-101.277,117.921,-155.000
-102.432,117.468,-155.000
-103.466,116.771,-155.000
-104.419,115.961,-155.000
-105.295,115.069,-155.000
-106.051,114.075,-155.000
-106.702,113.008,-155.000
-107.309,111.913,-155.000
-107.908,110.814,-155.000
-108.488,109.705,-155.000
-108.971,108.553,-155.000
-109.257,107.339,-155.000
-109.356,106.093,-155.000
-109.364,104.842,-155.000
-109.294,103.593,-155.000
-109.069,102.365,-155.000
-108.631,101.196,-155.000
-107.996,100.121,-155.000
-107.215,99.145,-155.000
-106.356,98.236,-155.000
-105.473,97.348,-155.000
-104.588,96.463,-155.000
-103.703,95.578,-155.000
-102.818,94.693,-155.000
-101.927,93.815,-155.000
-101.008,92.966,-155.000
-100.038,92.176,-155.000
-99.023,91.444,-155.000
-97.987,90.742,-155.000
-96.948,90.044,-155.000
-95.923,89.326,-155.000
-94.936,88.557,-155.000
-94.002,87.725,-155.000
-93.104,86.852,-155.000
-92.218,85.968,-155.000
-91.334,85.084,-155.000
-90.469,84.179,-155.000
-89.705,83.189,-155.000
-89.186,82.054,-155.000
-89.008,80.817,-155.000
-89.152,79.575,-155.000
-89.589,78.406,-155.000
-90.344,77.415,-155.000
-91.333,76.652,-155.000
-92.428,76.048,-155.000
-93.557,75.507,-155.000
-94.691,74.978,-155.000
-95.825,74.448,-155.000
-96.959,73.918,-155.000
-98.083,73.370,-155.000
-99.149,72.722,-155.000
-100.025,71.844,-155.000
-100.597,70.742,-155.000
-100.861,69.528,-155.000
-100.824,68.284,-155.000
-100.554,67.065,-155.000
-100.090,65.908,-155.000
-99.367,64.901,-155.000
-98.400,64.119,-155.000
-97.284,63.563,-155.000
-96.078,63.252,-155.000
-94.834,63.145,-155.000
-93.582,63.126,-155.000
-92.331,63.125,-155.000
-91.079,63.125,-155.000
-89.828,63.125,-155.000
-88.576,63.125,-155.000
-87.325,63.134,-155.000
-86.075,63.186,-155.000
-84.830,63.311,-155.000
-83.593,63.501,-155.000
-82.361,63.719,-155.000
-81.127,63.928,-155.000
-79.881,64.034,-155.000
-78.654,63.825,-155.000
-77.584,63.184,-155.000
-76.655,62.346,-155.000
-75.756,61.475,-155.000
-74.858,60.604,-155.000
-73.959,59.733,-155.000
-73.060,58.863,-155.000
-72.161,57.992,-155.000
-71.262,57.121,-155.000
-70.363,56.250,-155.000
-69.464,55.379,-155.000
-68.565,54.509,-155.000
-67.666,53.638,-155.000
-66.768,52.767,-155.000
-65.869,51.896,-155.000
-64.970,51.025,-155.000
-64.071,50.155,-155.000
-63.172,49.284,-155.000
-62.273,48.413,-155.000
-61.374,47.542,-155.000
-60.478,46.669,-155.000
-59.615,45.763,-155.000
-58.924,44.729,-155.000
-58.925,43.564,-155.000
-59.951,42.949,-155.000
-61.187,42.758,-155.000
-62.436,42.699,-155.000
-63.682,42.817,-155.000
-64.898,43.110,-155.000
-66.092,43.488,-155.000
-67.286,43.862,-155.000
-68.501,44.157,-155.000
-69.742,44.317,-155.000
-70.992,44.368,-155.000
-72.244,44.375,-155.000
-73.495,44.375,-155.000
-74.747,44.374,-155.000
-75.998,44.363,-155.000
-77.247,44.292,-155.000
-78.478,44.075,-155.000
-79.669,43.691,-155.000
-80.827,43.217,-155.000
-81.977,42.724,-155.000
-83.128,42.231,-155.000
-84.277,41.735,-155.000
-85.412,41.209,-155.000
-86.490,40.578,-155.000
-87.457,39.787,-155.000
-88.313,38.875,-155.000
-89.096,37.899,-155.000
-89.794,36.862,-155.000
-90.376,35.756,-155.000
-90.867,34.605,-155.000
-91.322,33.439,-155.000
-91.771,32.270,-155.000
-92.215,31.100,-155.000
-92.616,29.916,-155.000
-92.894,28.698,-155.000
-92.997,27.453,-155.000
-92.977,26.202,-155.000
-92.914,24.952,-155.000
-92.845,23.702,-155.000
-92.775,22.453,-155.000
-92.706,21.203,-155.000
-92.629,19.954,-155.000
-92.506,18.710,-155.000
-92.257,17.486,-155.000
-91.846,16.306,-155.000
-91.325,15.168,-155.000
-90.751,14.057,-155.000
-90.111,12.983,-155.000
-89.367,11.978,-155.000
-88.532,11.047,-155.000
-87.655,10.155,-155.000
-86.770,9.270,-155.000
-85.877,8.392,-155.000
-84.944,7.560,-155.000
-83.925,6.838,-155.000
-82.822,6.250,-155.000
-81.679,5.742,-155.000
-80.526,5.254,-155.000
-79.373,4.769,-155.000
-78.219,4.283,-155.000
-77.066,3.798,-155.000
-75.913,3.312,-155.000
-74.763,2.817,-155.000
-73.642,2.264,-155.000
-72.608,1.567,-155.000
-71.744,0.673,-155.000
-71.171,-0.423,-155.000
-71.042,-1.649,-155.000
-71.253,-2.878,-155.000
-71.570,-4.088,-155.000
-71.893,-5.298,-155.000
-72.180,-6.516,-155.000
-72.380,-7.750,-155.000
-72.473,-8.997,-155.000
-72.497,-10.249,-155.000
-72.500,-11.500,-155.000
-72.500,-12.752,-155.000
-72.500,-14.003,-155.000
-72.500,-15.255,-155.000
-72.500,-16.506,-155.000
-72.500,-17.758,-155.000
-72.500,-19.009,-155.000
-72.500,-20.261,-155.000
-72.500,-21.512,-155.000
-72.500,-22.764,-155.000
-72.495,-24.015,-155.000
-72.463,-25.266,-155.000
-72.369,-26.514,-155.000
-72.200,-27.754,-155.000
-71.985,-28.986,-155.000
-71.756,-30.217,-155.000
-71.526,-31.447,-155.000
-71.295,-32.677,-155.000
-71.061,-33.906,-155.000
-70.807,-35.132,-155.000
-70.499,-36.345,-155.000
-70.122,-37.538,-155.000
-69.699,-38.715,-155.000
-69.261,-39.888,-155.000
-68.821,-41.060,-155.000
-68.382,-42.231,-155.000
-67.943,-43.403,-155.000
-67.497,-44.573,-155.000
-67.024,-45.731,-155.000
-66.502,-46.868,-155.000
-65.934,-47.984,-155.000
-65.346,-49.088,-155.000
-64.753,-50.191,-155.000
-64.160,-51.292,-155.000
-63.563,-52.393,-155.000
-62.949,-53.483,-155.000
-62.293,-54.549,-155.000
-61.589,-55.583,-155.000
-60.854,-56.596,-155.000
-60.110,-57.602,-155.000
-59.365,-58.608,-155.000
-58.620,-59.613,-155.000
-57.875,-60.619,-155.000
-57.130,-61.625,-155.000
-56.385,-62.630,-155.000
-55.640,-63.636,-155.000
-54.895,-64.642,-155.000
-54.150,-65.647,-155.000
-53.405,-66.653,-155.000
-52.660,-67.659,-155.000
-51.915,-68.664,-155.000
-51.163,-69.665,-155.000
-50.377,-70.638,-155.000
-49.524,-71.553,-155.000
-48.607,-72.405,-155.000
-47.658,-73.221,-155.000
-46.702,-74.028,-155.000
-45.744,-74.834,-155.000
-44.787,-75.640,-155.000
-43.830,-76.446,-155.000
-42.872,-77.252,-155.000
-41.915,-78.058,-155.000
-40.958,-78.864,-155.000
-39.999,-79.668,-155.000
-39.023,-80.452,-155.000
-37.999,-81.172,-155.000
-36.917,-81.799,-155.000
-35.799,-82.360,-155.000
-34.671,-82.902,-155.000
-33.542,-83.442,-155.000
-32.413,-83.982,-155.000
-31.284,-84.522,-155.000
-30.154,-85.062,-155.000
-29.025,-85.602,-155.000
-27.896,-86.142,-155.000
-26.767,-86.682,-155.000
-25.635,-87.215,-155.000
-24.487,-87.714,-155.000
-23.308,-88.133,-155.000
-22.101,-88.462,-155.000
-20.881,-88.739,-155.000
-19.657,-89.002,-155.000
-18.434,-89.264,-155.000
-17.210,-89.526,-155.000
-15.986,-89.789,-155.000
-14.762,-90.051,-155.000
-13.539,-90.313,-155.000
-12.315,-90.575,-155.000
-11.091,-90.838,-155.000
-9.868,-91.100,-155.000
-8.644,-91.361,-155.000
-7.417,-91.609,-155.000
-6.183,-91.818,-155.000
-4.941,-91.972,-155.000
-3.695,-92.087,-155.000
-2.448,-92.192,-155.000
-1.201,-92.296,-155.000
0.047,-92.400,-155.000
1.294,-92.504,-155.000
2.541,-92.608,-155.000
3.788,-92.712,-155.000
5.035,-92.815,-155.000
6.283,-92.918,-155.000
7.531,-93.008,-155.000
8.782,-93.052,-155.000
10.033,-93.031,-155.000
11.283,-92.966,-155.000
12.532,-92.889,-155.000
13.781,-92.811,-155.000
15.030,-92.733,-155.000
16.279,-92.654,-155.000
17.527,-92.564,-155.000
18.772,-92.438,-155.000
20.011,-92.259,-155.000
21.244,-92.046,-155.000
22.476,-91.823,-155.000
23.707,-91.599,-155.000
24.938,-91.375,-155.000
26.170,-91.151,-155.000
27.401,-90.927,-155.000
28.632,-90.703,-155.000
29.864,-90.479,-155.000
31.093,-90.247,-155.000
32.316,-89.979,-155.000
33.525,-89.656,-155.000
34.722,-89.291,-155.000
35.915,-88.913,-155.000
37.108,-88.534,-155.000
38.300,-88.154,-155.000
39.493,-87.775,-155.000
40.686,-87.396,-155.000
41.878,-87.016,-155.000
43.071,-86.637,-155.000
44.262,-86.253,-155.000
45.445,-85.845,-155.000
46.609,-85.385,-155.000
47.748,-84.866,-155.000
48.871,-84.314,-155.000
49.986,-83.746,-155.000
51.083,-83.143,-155.000
52.148,-82.486,-155.000
53.188,-81.791,-155.000
54.220,-81.083,-155.000
55.252,-80.374,-155.000
56.283,-79.665,-155.000
57.314,-78.956,-155.000
58.346,-78.247,-155.000
59.376,-77.536,-155.000
60.396,-76.812,-155.000
61.391,-76.052,-155.000
62.350,-75.248,-155.000
63.286,-74.417,-155.000
64.216,-73.580,-155.000
65.147,-72.743,-155.000
66.073,-71.901,-155.000
66.978,-71.037,-155.000
67.838,-70.128,-155.000
68.650,-69.176,-155.000
69.438,-68.203,-155.000
70.219,-67.226,-155.000
71.000,-66.248,-155.000
71.767,-65.259,-155.000
72.489,-64.236,-155.000
73.143,-63.169,-155.000
73.753,-62.077,-155.000
74.353,-60.978,-155.000
74.952,-59.879,-155.000
75.541,-58.775,-155.000
76.087,-57.649,-155.000
76.560,-56.490,-155.000
76.977,-55.311,-155.000
77.375,-54.124,-155.000
77.771,-52.937,-155.000
78.167,-51.749,-155.000
78.563,-50.562,-155.000
78.958,-49.375,-155.000
79.354,-48.188,-155.000
79.750,-47.000,-155.000
80.146,-45.813,-155.000
80.541,-44.626,-155.000
80.937,-43.438,-155.000
81.333,-42.251,-155.000
81.728,-41.063,-155.000
82.098,-39.868,-155.000
82.377,-38.648,-155.000
82.524,-37.405,-155.000
82.586,-36.155,-155.000
82.628,-34.905,-155.000
82.670,-33.654,-155.000
82.712,-32.403,-155.000
82.753,-31.152,-155.000
82.795,-29.901,-155.000
82.837,-28.651,-155.000
82.878,-27.400,-155.000
82.920,-26.149,-155.000
82.962,-24.898,-155.000
83.003,-23.647,-155.000
83.044,-22.396,-155.000
83.064,-21.145,-155.000
83.019,-19.895,-155.000
82.881,-18.651,-155.000
82.685,-17.415,-155.000
82.475,-16.181,-155.000
82.265,-14.947,-155.000
82.055,-13.713,-155.000
81.845,-12.480,-155.000
81.635,-11.246,-155.000
81.425,-10.012,-155.000
81.215,-8.778,-155.000
81.005,-7.545,-155.000
80.795,-6.311,-155.000
80.585,-5.077,-155.000
80.375,-3.843,-155.000
80.165,-2.609,-155.000
79.955,-1.376,-155.000
79.745,-0.142,-155.000
79.535,1.092,-155.000
79.325,2.326,-155.000
79.115,3.559,-155.000
78.905,4.793,-155.000
78.695,6.027,-155.000
78.477,7.259,-155.000
78.218,8.484,-155.000
77.856,9.681,-155.000
77.376,10.837,-155.000
76.831,11.963,-155.000
76.271,13.083,-155.000
75.712,14.202,-155.000
75.152,15.321,-155.000
74.592,16.440,-155.000
74.022,17.555,-155.000
73.405,18.643,-155.000
72.688,19.668,-155.000
71.870,20.615,-155.000
71.047,21.556,-155.000
70.413,22.624,-155.000
70.201,23.838,-155.000
70.499,25.034,-155.000
71.175,26.078,-155.000
72.014,27.005,-155.000
72.893,27.895,-155.000
73.762,28.795,-155.000
74.573,29.747,-155.000
75.267,30.785,-155.000
75.848,31.893,-155.000
76.376,33.027,-155.000
76.893,34.167,-155.000
77.394,35.314,-155.000
77.826,36.487,-155.000
78.129,37.699,-155.000
78.311,38.936,-155.000
78.440,40.181,-155.000
78.559,41.427,-155.000
78.677,42.673,-155.000
78.796,43.919,-155.000
78.915,45.165,-155.000
79.033,46.411,-155.000
79.145,47.657,-155.000
79.217,48.906,-155.000
79.195,50.156,-155.000
79.059,51.399,-155.000
78.844,52.632,-155.000
78.603,53.860,-155.000
78.358,55.087,-155.000
78.112,56.314,-155.000
77.859,57.540,-155.000
77.570,58.757,-155.000
77.207,59.954,-155.000
76.745,61.116,-155.000
76.143,62.210,-155.000
75.376,63.195,-155.000
74.496,64.083,-155.000
73.576,64.931,-155.000
72.650,65.773,-155.000
71.724,66.615,-155.000
70.788,67.445,-155.000
69.805,68.219,-155.000
68.742,68.874,-155.000
67.610,69.406,-155.000
66.449,69.873,-155.000
65.282,70.324,-155.000
64.114,70.773,-155.000
62.940,71.207,-155.000
61.742,71.566,-155.000
60.511,71.780,-155.000
59.263,71.859,-155.000
58.012,71.853,-155.000
56.767,71.735,-155.000
55.554,71.436,-155.000
54.389,70.982,-155.000
53.251,70.462,-155.000
52.118,69.930,-155.000
50.985,69.398,-155.000
49.853,68.865,-155.000
48.721,68.332,-155.000
47.592,67.790,-155.000
46.488,67.201,-155.000
45.447,66.508,-155.000
44.491,65.703,-155.000
43.589,64.836,-155.000
42.702,63.952,-155.000
41.824,63.061,-155.000
40.977,62.140,-155.000
40.186,61.170,-155.000
39.446,60.161,-155.000
38.729,59.135,-155.000
38.016,58.107,-155.000
37.304,57.078,-155.000
36.591,56.049,-155.000
35.837,55.050,-155.000
34.903,54.221,-155.000
33.709,53.871,-155.000
32.467,53.948,-155.000
31.317,54.403,-155.000
30.486,55.297,-155.000
30.174,56.484,-155.000
30.279,57.721,-155.000
30.612,58.925,-155.000
31.044,60.099,-155.000
31.505,61.263,-155.000
31.970,62.425,-155.000
32.435,63.587,-155.000
32.895,64.750,-155.000
33.331,65.924,-155.000
33.710,67.116,-155.000
34.019,68.328,-155.000
34.283,69.551,-155.000
34.531,70.778,-155.000
34.776,72.005,-155.000
35.021,73.232,-155.000
35.267,74.460,-155.000
35.512,75.687,-155.000
35.767,76.912,-155.000
36.084,78.122,-155.000
36.568,79.272,-155.000
37.272,80.301,-155.000
38.113,81.226,-155.000
39.018,82.089,-155.000
40.008,82.853,-155.000
41.105,83.450,-155.000
42.267,83.913,-155.000
43.446,84.331,-155.000
44.627,84.745,-155.000
45.808,85.158,-155.000
46.990,85.571,-155.000
48.171,85.985,-155.000
49.352,86.398,-155.000
50.530,86.822,-155.000
51.687,87.299,-155.000
52.791,87.886,-155.000
53.817,88.600,-155.000
54.739,89.445,-155.000
55.452,90.470,-155.000
55.846,91.656,-155.000
55.944,92.901,-155.000
55.681,94.115,-155.000
54.989,95.135,-155.000
53.906,95.676,-155.000
52.675,95.611,-155.000
